Food Name,Ingredients,Recipe (Instructions),Cuisine Type,Cooking Method,Preparation Time,Rating
Spaghetti Carbonara,"spaghetti, eggs, bacon, Parmesan, black pepper",Boil spaghetti. Fry bacon. Mix eggs with Parmesan. Toss everything together with pasta and season with pepper.,Italian,Boiling,20 mins,4.8
Chicken Tikka Masala,"chicken, yogurt, garam masala, tomato, cream, spices",Marinate chicken in yogurt and spices. Grill chicken. Cook with tomato sauce and cream.,Indian,Grilling,45 mins,4.7
Vegetable Stir Fry,"broccoli, bell pepper, soy sauce, garlic, sesame oil",Stir fry vegetables in sesame oil and garlic. Add soy sauce and cook until tender.,Chinese,Stir-Frying,15 mins,4.6
Beef Tacos,"ground beef, taco shells, lettuce, tomato, cheese","Cook ground beef with spices. Assemble tacos with lettuce, tomato, and cheese.",Mexican,Frying,30 mins,4.5
Pancakes,"flour, eggs, milk, sugar, butter","Mix flour, eggs, milk, and sugar. Cook batter on a hot griddle until golden brown.",American,Frying,10 mins,4.3
Margarita Pizza,"pizza dough, mozzarella, tomatoes, basil",Spread sauce on dough. Add cheese and basil. Bake until golden.,Italian,Baking,25 mins,4.9
Butter Chicken,"chicken, butter, cream, tomato, spices","Cook chicken in butter, add spices and cream, simmer until thick.",Indian,Simmering,50 mins,4.8
Fried Rice,"rice, eggs, vegetables, soy sauce, green onions","Stir fry rice with vegetables and soy sauce. Add scrambled eggs.",Chinese,Stir-Frying,20 mins,4.4
Chicken Enchiladas,"chicken, tortillas, cheese, enchilada sauce","Roll chicken in tortillas, top with sauce and cheese, bake until bubbly.",Mexican,Baking,35 mins,4.6
French Toast,"bread, eggs, milk, cinnamon, butter","Dip bread in egg mixture. Cook on a griddle until golden brown.",American,Frying,15 mins,4.5
Biryani,"rice, chicken, spices, yogurt, onions","Layer rice with marinated chicken and spices, cook until done.",Indian,Simmering,70 mins,4.7
Vegetable Curry,"mixed vegetables, coconut milk, curry paste","Cook vegetables in coconut milk with curry paste until tender.",Indian,Simmering,30 mins,4.5
Tom Yum Soup,"shrimp, lemongrass, lime, chili paste","Boil water with herbs. Add shrimp and cook until done.",Thai,Boiling,20 mins,4.8
Sushi,"rice, seaweed, fish, avocado, soy sauce","Roll sushi with rice, fish, and avocado, slice into pieces.",Japanese,Rolling,40 mins,4.9
Caesar Salad,"romaine lettuce, croutons, Caesar dressing, parmesan","Toss lettuce with dressing, croutons, and cheese.",Italian,No Cooking,10 mins,4.6
Beef Stroganoff,"beef, mushrooms, onions, sour cream, noodles","Cook beef and onions, add mushrooms, and stir in sour cream.",Russian,Simmering,45 mins,4.5
Lentil Soup,"lentils, carrots, celery, spices, broth","Simmer lentils with vegetables and spices until tender.",American,Simmering,30 mins,4.4
Lasagna,"lasagna noodles, cheese, tomato sauce, ground beef","Layer noodles, cheese, and sauce, bake until bubbly.",Italian,Baking,60 mins,4.8
Chili Con Carne,"ground beef, beans, tomatoes, spices","Cook beef with beans and spices until thick.",Mexican,Simmering,50 mins,4.5
Pesto Pasta,"pasta, basil pesto, cherry tomatoes, Parmesan","Toss cooked pasta with pesto and halved cherry tomatoes.",Italian,Boiling,20 mins,4.6
Stuffed Peppers,"bell peppers, rice, ground beef, cheese","Stuff peppers with rice and beef, bake until tender.",American,Baking,40 mins,4.5
Eggplant Parmesan,"eggplant, marinara sauce, mozzarella, Parmesan","Layer fried eggplant with sauce and cheese, bake until golden.",Italian,Baking,50 mins,4.7
Baked Ziti,"ziti pasta, marinara sauce, ricotta, mozzarella","Mix pasta with sauce and cheese, bake until bubbly.",Italian,Baking,35 mins,4.6
Quiche Lorraine,"pie crust, eggs, cream, bacon, cheese","Whisk eggs and cream, add bacon and cheese, bake until set.",French,Baking,45 mins,4.8
Shrimp Scampi,"shrimp, garlic, butter, lemon, pasta","Sauté shrimp in garlic and butter, serve with pasta.",Italian,Sautéing,25 mins,4.7
Fish Tacos,"fish, taco shells, cabbage, lime, salsa","Grill fish, assemble in taco shells with toppings.",Mexican,Grilling,30 mins,4.4
Minestrone Soup,"vegetables, beans, pasta, broth, herbs","Simmer vegetables and pasta in broth until tender.",Italian,Simmering,40 mins,4.6
Falafel,"chickpeas, herbs, spices, tahini","Blend chickpeas with herbs, fry until golden brown.",Middle Eastern,Frying,30 mins,4.5
Chocolate Chip Cookies,"flour, sugar, butter, chocolate chips","Mix ingredients, scoop onto baking sheet, bake until golden.",American,Baking,15 mins,4.9
